13# Special techniques for use when population parameters and population distributions are unknown#13.9.2#Friedman test Page 715#Ex13_9_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.9.2/Ex13_9_2.R#S##6653
13# Special techniques for use when population parameters and population distributions are unknown#13.9.1#Friedman test Page 713#Ex13_9_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.9.1/Ex13_9_1.R#S##6654
13# Special techniques for use when population parameters and population distributions are unknown#13.8.2#Kruskal Wallis one way ANOVA page 708#Ex13_8_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.8.2/Ex13_8_2.R#S##6655
13# Special techniques for use when population parameters and population distributions are unknown#13.8.1#Kruskal Wallis one way ANOVA Page 705#Ex13_8_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.8.1/Ex13_8_1.R#S##6656
13# Special techniques for use when population parameters and population distributions are unknown#13.7.1#Kolmogorov Smirnov Goodness of fit test Page 699#Ex13_7_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.7.1/Ex13_7_1.R#S##6657
13# Special techniques for use when population parameters and population distributions are unknown#13.6.1#Mann Whitney test Page 691#Ex13_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.6.1/Ex13_6_1.R#S##6658
13# Special techniques for use when population parameters and population distributions are unknown#13.5.1#Median Test page 686#Ex13_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.5.1/Ex13_5_1.R#S##6659
13# Special techniques for use when population parameters and population distributions are unknown#13.4.1#Wilcoxon signed rank test page 683#Ex13_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.4.1/Ex13_4_1.R#S##6660
13# Special techniques for use when population parameters and population distributions are unknown#13.3.2#Sign test for paired data Page 677#Ex13_3_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.3.2/Ex13_3_2.R#S##6661
13# Special techniques for use when population parameters and population distributions are unknown#13.3.1#Sign test Page 673#Ex13_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.3.1/Ex13_3_1.R#S##6662
13# Special techniques for use when population parameters and population distributions are unknown#13.10.2#Test for correlation Page 722#Ex13_10_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.10.2/Ex13_10_2.R#S##6651
13# Special techniques for use when population parameters and population distributions are unknown#13.10.1#Test for correlation Page 720#Ex13_10_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.10.1/Ex13_10_1.R#S##6652
12# Analysis of frequency data An introduction to the chi square distribution#12.7.2#Odds ratio Page 647#Ex12_7_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.7.2/Ex12_7_2.R#S##6650
12# Analysis of frequency data An introduction to the chi square distribution#12.7.1#Relative risk  Page 644#Ex12_7_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.7.1/Ex12_7_1.R#S##6649
12# Analysis of frequency data An introduction to the chi square distribution#12.6.1#Fishers exact test Page 638#Ex12_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.6.1/Ex12_6_1.R#S##6648
12# Analysis of frequency data An introduction to the chi square distribution#12.5.1#Test for homogeneity Page 631#Ex12_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.5.1/Ex12_5_1.R#S##6647
12# Analysis of frequency data An introduction to the chi square distribution#12.4.2#Test for independence Page 626#Ex12_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.4.2/Ex12_4_2.R#S##6646
12# Analysis of frequency data An introduction to the chi square distribution#12.4.1#Test for independence Page 621#Ex12_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.4.1/Ex12_4_1.R#S##6645
12# Analysis of frequency data An introduction to the chi square distribution#12.3.5#Goodness of fit  Distribution of traits Page 616#Ex12_3_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.3.5/Ex12_3_5.R#S##6644
12# Analysis of frequency data An introduction to the chi square distribution#12.3.4#Tests of goodness of fit  Uniform distribution Page 614#Ex12_3_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.3.4/Ex12_3_4.R#S##6643
12# Analysis of frequency data An introduction to the chi square distribution#12.3.3#Test of goodness of fit  Poisson distribution#Ex12_3_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.3.3/Ex12_3_3.R#S##7104
12# Analysis of frequency data An introduction to the chi square distribution#12.3.2#Tests of goodness of fit Binomial distribution#Ex12_3_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH12/EX12.3.2/Ex12_3_2.R#S##7105
